HR Name HD Vmag B-V SpType ra_dec
1 "" 3 6.70 0.07 A1Vn 1.2912499999999998,45.229166666666664
2 "" 6 6.29 1.10 gG9 1.2658333333333331,-0.5030555555555555
3 "33    Psc" 28 4.61 1.04 K0IIIbCN-0.5 1.3337499999999998,-5.7075
4 "86    Peg" 87 5.51 0.90 G5III 1.4249999999999998,13.396111111111109
5 "" 123 5.96 0.67 G5V 1.5666666666666664,58.43666666666666
6 "" 142 5.70 0.52 G1IV 1.5791666666666664,-49.074999999999996
7 "10    Cas" 144 5.59 -0.03 B9III 1.6104166666666664,64.19611111111111
8 "" 166 6.13 0.75 K0V 1.653333333333333,29.021388888888886
9 "" 203 6.18 0.38 A7V 1.7087499999999998,-23.107499999999998
10 "" 256 6.19 0.14 A6Vn 1.8258333333333332,-17.386388888888888
11 "" 315 6.43 -0.14 B8IIIpSi 1.9337499999999999,-2.5488888888888885
12 "" 319 5.94 0.14 A2Vp: 1.9449999999999998,-22.508888888888887
13 "" 344 5.68 1.12 K1III 2.014583333333333,-33.52944444444444
14 "" 352 6.07 1.38 K2III+F 2.0504166666666666,-2.4477777777777776
15 "21Alp And" 358 2.06 -0.11 B8IVpMnHg 2.097083333333333,29.09055555555555
16 "" 360 5.99 1.04 gG8 2.0725,-8.823888888888888
17 "" 400 6.19 0.48 F8IV 2.170833333333333,36.626666666666665
18 "" 402 6.06 1.67 M0III 2.139166666666666,-17.577499999999997
19 "" 417 6.23 0.97 K0III 2.2175,25.462777777777774
20 "" 431 6.01 0.19 A7IV 2.3341666666666665,79.7147222222222
21 "11Bet Cas" 432 2.27 0.34 F2III-IV 2.294583333333333,59.149722222222216
22 "87    Peg" 448 5.53 1.04 G9III 2.26,18.21194444444444
23 "" 469 6.33 0.74 G4IV 2.26,-54.00194444444444
24 Kap1Scl 493 5.42 0.42 F2V 2.3375,-27.987777777777776
25 "Eps Phe" 496 3.88 1.03 K0III 2.3529166666666663,-45.747499999999995
26 "34    Psc" 560 5.51 -0.07 B9Vn 2.509583333333333,11.145555555555553
27 "22    And" 571 5.03 0.40 F2II 2.5804166666666664,46.072222222222216
28 "" 584 6.74 -0.08 B7IV 2.62375,57.16555555555555
29 "" 587 5.84 0.98 K1III 2.578333333333333,-5.24861111111111
30 Gam3Oct 636 5.28 1.05 G8III 2.5087499999999996,-82.22388888888888
31 "" 645 5.85 1.01 K0IV 2.678333333333333,-12.579999999999998
32 "" 661 6.64 0.37 F2V+F6V 2.660833333333333,-73.22444444444443
33 "6    Cet" 693 4.89 0.49 F7V 2.8162499999999997,-15.468055555555553
34 Kap2Scl 720 5.41 1.34 K5III 2.893333333333333,-27.79972222222222
35 "The Scl" 739 5.25 0.44 F4V 2.933333333333333,-35.13305555555555
36 "" 743 6.16 1.45 gK4 2.9962499999999994,48.152499999999996
37 "" 787 5.25 1.48 K5III 3.041666666666666,-17.938333333333333
38 "" 829 6.73 -0.13 B2V 3.2099999999999995,37.69333333333333
39 "88Gam Peg" 886 2.83 -0.23 B2IV 3.309166666666666,15.183611111111109
40 "" 895 6.30 0.65 G0III 3.3499999999999996,26.98722222222222
41 "23    And" 905 5.72 0.31 F0IV 3.378333333333333,41.03527777777777
42 "" 942 5.94 1.55 K5III 3.425416666666666,-26.02194444444444
43 "" 943 6.31 1.48 K5III 3.434166666666666,-26.284722222222218
44 "" 952 6.25 -0.01 A1V 3.509583333333333,33.206111111111106
45 "89Chi Peg" 1013 4.80 1.57 M2+III 3.650833333333333,20.206666666666663
46 "" 1014 5.12 1.62 M3+III 3.6149999999999993,-7.780555555555554
47 "" 1032 5.77 1.72 M0-1III 3.330833333333333,-84.99416666666666
48 "7    Cet" 1038 4.44 1.66 M3III 3.6599999999999997,-18.932777777777776
49 "" 1048 6.24 -0.01 A1pSi 3.7337499999999997,22.284166666666664
50 "35    Psc" 1061 5.79 0.31 F0IV 3.7449999999999997,8.820833333333333
51 "" 1064 5.75 -0.08 B9V 3.727083333333333,-9.569722222222222
52 "" 1075 6.45 "" K5 3.7791666666666663,31.53583333333333
53 "" 1083 6.35 -0.02 A1Vn 3.794166666666666,27.283055555555553
54 "" 1089 6.17 1.34 K3III 3.7424999999999997,-34.90444444444444
55 "" 1141 6.35 -0.07 B8Vnn 4.058333333333333,76.95083333333332
56 "" 1185 6.15 0.05 A2VpSi 4.09,43.59472222222222
57 "" 1187 5.67 1.35 K5III 4.0370833333333325,-31.446388888888883
58 "" 1221 6.49 1.00 G8-K0III 3.9799999999999995,-75.91138888888888
59 "36    Psc" 1227 6.11 0.92 G8II-III 4.142083333333333,8.239999999999998
60 "" 1239 5.74 0.88 G8III 4.237916666666666,61.533333333333324
61 "" 1256 6.47 -0.09 B8III 4.177083333333333,-20.21055555555555
62 "" 1279 5.89 -0.09 B7III 4.287916666666666,47.94749999999999
63 "24The And" 1280 4.61 0.06 A2V 4.272916666666666,38.681666666666665
64 "" 1324 6.77 0.46 F3III 4.204166666666666,-78.78055555555555
65 "" 1337 6.14 -0.13 O9IIInn 4.429166666666666,51.43305555555555
66 "" 1343 6.45 0.37 F4IV-V 4.385833333333332,-19.05111111111111
67 "" 1367 6.17 0.94 K0II 4.4487499999999995,1.6888888888888887
68 "25Sig And" 1404 4.52 0.05 A2V 4.582083333333332,36.78527777777777
69 "" 1419 6.05 1.03 K0III 4.571666666666666,11.205833333333333
70 "26    And" 1438 6.11 -0.08 B8V 4.675416666666666,43.79111111111111
71 "" 1439 5.87 -0.01 A0IV 4.659583333333333,31.51722222222222
